model_name,parameters,f1,accuracy,precision,recall,confusion_matrix,RQ,Window Size,Hop Length,Correlation Treshold
gradientboosting,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42}",0.7175634954799828,0.71875,0.7224886641088246,0.71875,"[[565 299]
 [187 677]]",1,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42}",0.7269819157790843,0.7280092592592593,0.7314936213040284,0.7280092592592593,"[[576 288]
 [182 682]]",1,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'random_state': 42}",0.7307181815739272,0.7314814814814815,0.7341361892167277,0.7314814814814815,"[[586 278]
 [186 678]]",1,1.0,0.5,0.7
extratrees,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7234648089094511,0.7239583333333334,0.7255685965511147,0.7239583333333334,"[[589 275]
 [202 662]]",1,1.0,0.5,0.7
extratrees,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.7236481900832556,0.7245370370370371,0.7274634546175016,0.7245370370370371,"[[577 287]
 [189 675]]",1,1.0,0.5,0.7
extratrees,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.7110899526889922,0.7118055555555556,0.7139250439723989,0.7118055555555556,"[[572 292]
 [206 658]]",1,1.0,0.5,0.7
extratrees,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.7173525988845729,0.7181712962962963,0.7207286876547577,0.7181712962962963,"[[574 290]
 [197 667]]",1,1.0,0.5,0.7
extratrees,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7234965785337112,0.7245370370370371,0.7279683377308707,0.7245370370370371,"[[573 291]
 [185 679]]",1,1.0,0.5,0.7
extratrees,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.7218506860211245,0.7228009259259259,0.7258877216333127,0.7228009259259259,"[[574 290]
 [189 675]]",1,1.0,0.5,0.7
extratrees,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.7047253571034111,0.7054398148148148,0.707447607169766,0.7054398148148148,"[[567 297]
 [212 652]]",1,1.0,0.5,0.7
extratrees,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.7166051660516604,0.7175925925925926,0.7206680686653298,0.7175925925925926,"[[569 295]
 [193 671]]",1,1.0,0.5,0.7
gaussiannb,{'var_smoothing': 1e-09},0.4358778301686418,0.5196759259259259,0.5484848484848485,0.5196759259259259,"[[116 748]
 [ 82 782]]",1,1.0,0.5,0.7
gaussiannb,{'var_smoothing': 1e-08},0.434307048116094,0.5190972222222222,0.5476892970043655,0.5190972222222222,"[[114 750]
 [ 81 783]]",1,1.0,0.5,0.7
gaussiannb,{'var_smoothing': 1e-10},0.4494719910483251,0.5254629629629629,0.5568536664154193,0.5254629629629629,"[[133 731]
 [ 89 775]]",1,1.0,0.5,0.7
adaboost,"{'learning_rate': 0.1, 'n_estimators': 50, 'random_state': 42}",0.6954344338017212,0.6979166666666666,0.7045862412761714,0.6979166666666666,"[[525 339]
 [183 681]]",1,1.0,0.5,0.7
adaboost,"{'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 42}",0.7032327586206897,0.7048611111111112,0.7094582748948107,0.7048611111111112,"[[545 319]
 [191 673]]",1,1.0,0.5,0.7
adaboost,"{'learning_rate': 1.0, 'n_estimators': 50, 'random_state': 42}",0.7019697953968316,0.7025462962962963,0.7041257155200346,0.7025462962962963,"[[569 295]
 [219 645]]",1,1.0,0.5,0.7
adaboost,"{'learning_rate': 1.0, 'n_estimators': 100, 'random_state': 42}",0.6993481975447869,0.6996527777777778,0.7004651156534686,0.6996527777777778,"[[577 287]
 [232 632]]",1,1.0,0.5,0.7
logisticregression,"{'C': 0.1, 'solver': 'liblinear', 'random_state': 42}",0.3333333333333333,0.5,0.25,0.5,"[[864   0]
 [864   0]]",1,1.0,0.5,0.7
logisticregression,"{'C': 0.1, 'solver': 'lbfgs', 'random_state': 42}",0.3333333333333333,0.5,0.25,0.5,"[[864   0]
 [864   0]]",1,1.0,0.5,0.7
logisticregression,"{'C': 1, 'solver': 'liblinear', 'random_state': 42}",0.3333333333333333,0.5,0.25,0.5,"[[864   0]
 [864   0]]",1,1.0,0.5,0.7
logisticregression,"{'C': 1, 'solver': 'lbfgs', 'random_state': 42}",0.3333333333333333,0.5,0.25,0.5,"[[864   0]
 [864   0]]",1,1.0,0.5,0.7
logisticregression,"{'C': 10, 'solver': 'liblinear', 'random_state': 42}",0.3333333333333333,0.5,0.25,0.5,"[[864   0]
 [864   0]]",1,1.0,0.5,0.7
