mfcc_1_avg,zero_crossing_rate,root_mean_square_energy,mean,skewness,kurtosis,target
-382.831298828125,0.0,0.7744887471199036,0.7733252048492432,-1.8339324930281267,2.135159145606841,1
-289.76318359375,0.0,0.6841838955879211,0.6770484447479248,-0.4838052450859954,-0.7088124141373848,1
-333.6709289550781,0.0,0.8565828800201416,0.8488746881484985,1.9595542771824617,2.135159145606841,1
-234.8961181640625,0.0,1.0956618785858154,1.0840728282928467,-0.29607579560614866,-0.8463338072795787,1
-390.27972412109375,0.0,0.7514775395393372,0.7501667737960815,1.3755977582716417,0.7600505322236875,1
-332.1212463378906,0.000125,0.6518178582191467,0.55607670545578,-1.4034414954302266,0.29443458599126116,1
-202.2366943359375,0.0001,1.140661597251892,-0.9481127858161926,-0.2669174965733102,-1.401223707946216,1
-167.50167846679688,0.0,1.719483643770218,-1.9999405220150948,-0.660927712806446,-0.16147946879377617,1
-180.4688262939453,0.0,1.719483643770218,-1.9999405220150948,-0.6414551304554665,-0.984034523801085,1
-218.25540161132812,5e-05,0.8624464273452759,-0.15627731382846832,-0.3233545532450542,-1.3219467041249775,1
-365.26904296875,0.0,0.7607117295265198,0.7587592005729675,-1.5548829248903502,1.9782607530774579,1
-318.4090270996094,0.0,0.6561603546142578,0.6409690380096436,-2.0167925534618356,2.135159145606841,1
-196.04446411132812,5e-05,0.6595178246498108,-0.5476462841033936,0.7256218756673228,-0.220783543534659,1
-200.2474822998047,0.000125,0.46106866002082825,-0.23626379668712616,-0.2033605740164468,-0.6858963381552159,1
-223.66921997070312,5e-05,0.41855236887931824,0.2933556139469147,-0.6613718812234851,0.5605617074409657,1
-411.2313537597656,0.0,0.7866058349609375,0.7862606644630432,-2.0167925534618356,2.135159145606841,1
-394.69647216796875,0.0,0.798692524433136,0.7985324263572693,1.9595542771824617,2.135159145606841,1
-339.34698486328125,0.0,0.71658855676651,0.7082581520080566,-2.0167925534618356,2.135159145606841,1
-134.74267578125,5e-05,1.719483643770218,-1.9999405220150948,0.19560839459100152,-0.47257397124681244,1
-129.83700561523438,0.0,1.719483643770218,-1.9999405220150948,-0.08199294287540895,-0.6334217574478478,1
-213.3272247314453,5e-05,0.4642554521560669,0.1979590803384781,-1.1237300942360133,0.40636659782998263,1
-391.7535400390625,0.0,0.7622456550598145,0.7584273219108582,-1.9181154216777163,2.135159145606841,1
-305.0041198730469,0.0,0.7234014272689819,0.7202700972557068,-0.337011881327102,-1.0385889066497564,1
-385.18695068359375,0.0,0.8032127618789673,0.8028899431228638,1.9595542771824617,2.135159145606841,1
-291.06072998046875,5e-05,0.6366389393806458,0.41988250613212585,-1.1354694684955342,0.1558858616689074,1
-178.677001953125,0.000125,0.6138836741447449,-0.48159080743789673,-0.05526278612190062,-1.3155769486058013,1
-216.7577362060547,5e-05,0.6822667121887207,-0.5830692648887634,0.4964684570523791,0.09608176607918306,1
-374.48883056640625,0.0,0.7347076535224915,0.7241371273994446,-1.5040582777316396,0.7291336470816594,1
-400.1715393066406,0.0,0.8115577101707458,0.8109989762306213,1.3198607416255597,-0.2579728401339674,1
-331.0377502441406,0.0,0.8200061321258545,0.8132426738739014,0.8344441482876731,-0.7568462408052494,1
-357.0890197753906,0.0,0.7608762383460999,0.7600216865539551,-0.07203730207226502,-1.9948100309673913,1
-285.81695556640625,0.0,0.6873178482055664,0.6703894734382629,-1.7131180278563822,1.716695631798701,1
-321.43804931640625,0.0,0.6781954765319824,0.6587237119674683,-0.8572892119167297,-0.8629141521268626,1
-247.2821044921875,0.0,0.589227020740509,0.5637240409851074,-0.6087798153807624,-1.0317865524456846,1
