Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
2,1,svm,0.5,0.41506283827171814,0.5131108462455304,0.5283577825530699,0.5097304623567921
2,1,svm,1.0,0.415372846733236,0.5125148986889154,0.526222352519626,0.509149390798327
2,1,svm,5.0,0.5179556638139606,0.5297973778307509,0.5314528066918865,0.5285264934533551
2,1,svm,10.0,0.503601626763476,0.5089392133492253,0.5103194469277073,0.5098398572467722
2,1,svm,20.0,0.505592613952627,0.5107270560190703,0.5121594021156228,0.5116129068921622
2,1,svm_rbf,0.001,0.33518225039619653,0.5041716328963052,0.2520858164481526,0.5
2,1,svm_rbf,0.01,0.3651153991676126,0.5083432657926102,0.53893712181005,0.5044155755591926
2,1,svm_rbf,0.5,0.41506283827171814,0.5131108462455304,0.5283577825530699,0.5097304623567921
2,1,svm_rbf,1.0,0.415372846733236,0.5125148986889154,0.526222352519626,0.509149390798327
2,1,svm_rbf,5.0,0.5179556638139606,0.5297973778307509,0.5314528066918865,0.5285264934533551
2,1,svm_rbf,10.0,0.503601626763476,0.5089392133492253,0.5103194469277073,0.5098398572467722
2,1,svm_rbf,20.0,0.505592613952627,0.5107270560190703,0.5121594021156228,0.5116129068921622
2,1,randomforest,10.0,0.6799496692059805,0.6805721096543504,0.6826775266720202,0.680987452264048
2,1,randomforest,25.0,0.7015408754927405,0.702622169249106,0.7047246020270902,0.7021688602473177
2,1,randomforest,50.0,0.7012776344891527,0.7020262216924911,0.703356198924916,0.7016574036188399
2,1,randomforest,100.0,0.6942737067144348,0.6954707985697258,0.697680598343408,0.6949971017457719
2,1,randomforest,200.0,0.7059106778705726,0.7073897497020262,0.7105855416075455,0.7068472676850337
2,1,randomforest,500.0,0.7073667207478933,0.7091775923718713,0.713290502923161,0.7085705923804329
2,1,gradientboosting,10.0,0.6823050013123981,0.6853396901072706,0.6912562272550613,0.6845719108019639
2,1,gradientboosting,25.0,0.6895253421916617,0.6924910607866508,0.6986671024273046,0.6917237793235134
2,1,gradientboosting,50.0,0.6954533104371854,0.6978545887961859,0.7029624559602314,0.6971622681396618
2,1,gradientboosting,100.0,0.6938744848901098,0.6960667461263409,0.7005888907037521,0.695409108474268
2,1,gradientboosting,200.0,0.6937163227727263,0.6954707985697258,0.6989439045366276,0.6948877068557919
2,1,gradientboosting,500.0,0.702323294932353,0.7032181168057211,0.704898549726136,0.7028096017457719
2,1,extratrees,10.0,0.6581778812937598,0.6591179976162098,0.6616630402247243,0.6596014616293872
2,1,extratrees,25.0,0.6906976280759289,0.6912991656734208,0.6921916640931498,0.6909793257865067
2,1,extratrees,50.0,0.6913950394983897,0.6924910607866508,0.6944174366291178,0.6920420190034552
2,1,extratrees,100.0,0.692055127106541,0.6936829558998808,0.6968087262703129,0.6931246022004001
2,1,extratrees,200.0,0.7001650971912079,0.701430274135876,0.7039373223727753,0.7009371022004001
2,1,extratrees,500.0,0.6969004213781966,0.698450536352801,0.7015446674537584,0.6979024595380978
2,2,svm,0.001,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
2,2,svm,0.01,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
