Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
1,2,svm_rbf,10.0,0.3518137104736612,0.3534136546184739,0.351931538560927,0.35240438102032207
1,2,svm_rbf,20.0,0.35985149866489285,0.3614457831325301,0.36006826386609775,0.3604420426430199
1,2,randomforest,10.0,0.3300740008306471,0.3319946452476573,0.3309943268895161,0.3314686541074179
1,2,randomforest,25.0,0.3432821968966198,0.34404283801874164,0.3435613345946702,0.3436446271061935
1,2,randomforest,50.0,0.3455453349915925,0.3467202141900937,0.34591806932232466,0.3460220050433853
1,2,randomforest,100.0,0.33549258565179124,0.3360107095046854,0.3358067806868545,0.3360402770539888
1,2,randomforest,200.0,0.3480343833598978,0.34805890227576974,0.34803025971550844,0.34813844071249234
1,2,randomforest,500.0,0.3402157609019958,0.34002677376171353,0.3401803896286069,0.340398010769634
1,2,gradientboosting,10.0,0.39120529409519444,0.3949129852744311,0.39703051478274975,0.3931285577375239
1,2,gradientboosting,25.0,0.3978903923501398,0.39759036144578314,0.39890282678063893,0.3973948006372326
1,2,gradientboosting,50.0,0.3843367796435544,0.38420348058902276,0.3845981926627087,0.38425518057289243
1,2,gradientboosting,100.0,0.3695721894274235,0.36947791164658633,0.36960927881811706,0.36960742097072813
1,2,gradientboosting,200.0,0.3600989533635593,0.36010709504685406,0.3599572394716583,0.36053936915947693
1,2,gradientboosting,500.0,0.38171281573365173,0.3815261044176707,0.3819148936170213,0.3823166473148354
1,2,extratrees,10.0,0.37022495709300296,0.37215528781793844,0.373634527367739,0.3710903373140808
1,2,extratrees,25.0,0.32556476601318124,0.32663989290495316,0.32558064512202095,0.32592508443232004
1,2,extratrees,50.0,0.3019613633256743,0.3038821954484605,0.3018194255792437,0.30329516720351873
1,2,extratrees,100.0,0.3415887761425884,0.3413654618473896,0.3414827232208692,0.34173116574666845
1,2,extratrees,200.0,0.36098277526713346,0.3614457831325301,0.3610422367380542,0.3610086675498459
